Key,H2X,SHAP,LIME,LEMNA,I-MAD,H2X,SHAP,LIME,LEMNA,I-MAD,H2X,SHAP,LIME,LEMNA,I-MAD
125,0.538888889,0.323115079,0.381063372,0.025,0.46749409,67.84869784,40.35083816,48.44609068,3.15,58.7376895,0.538481729,0.320244747,0.384492783,0.025,0.466172139
126,0.539074803,0.323425197,0.382249059,0.025,0.467364718,68.38777264,40.67426335,48.82833974,3.175,59.20505422,0.538486399,0.32026979,0.384475116,0.025,0.466181529
127,0.539257813,0.323046875,0.381932833,0.025,0.467436835,68.92703046,40.99731023,49.21027257,3.2,59.67249105,0.538492425,0.320291486,0.384455254,0.025,0.466191336
128,0.53875969,0.323062016,0.382014013,0.025,0.467507834,69.46579015,41.32037224,49.59228658,3.225,60.13999889,0.538494497,0.320312963,0.38443633,0.025,0.466201542
129,0.539230769,0.323461538,0.382386057,0.025,0.467479542,70.00502092,41.64383378,49.97467264,3.25,60.60747843,0.538500161,0.320337183,0.384420559,0.025,0.466211373
130,0.539217557,0.323187023,0.38236591,0.025,0.467484164,70.54423847,41.9670208,50.35703855,3.275,61.07496259,0.538505637,0.320358937,0.384404874,0.025,0.466221088
131,0.538920455,0.323106061,0.382346069,0.025,0.467553191,71.08315893,42.29012687,50.73938462,3.3,61.54251578,0.53850878,0.320379749,0.384389277,0.025,0.46623118
132,0.538815789,0.322932331,0.381755478,0.025,0.467733163,71.62197472,42.6130592,51.1211401,3.325,62.01024895,0.538511088,0.320398941,0.384369474,0.025,0.466242473
133,0.538619403,0.323041045,0.381984915,0.025,0.467862814,72.16059412,42.93610024,51.50312501,3.35,62.47811176,0.538511896,0.320418659,0.384351679,0.025,0.466254565
134,0.538518519,0.323055556,0.38103069,0.025,0.467675335,72.69911264,43.2591558,51.8841557,3.375,62.9457871,0.538511945,0.320438191,0.384327079,0.025,0.46626509
135,0.538051471,0.323069853,0.380742024,0.025,0.467647059,73.23716411,43.58222565,52.26489773,3.4,63.41343416,0.53850856,0.320457542,0.384300719,0.025,0.466275251
136,0.538047445,0.322627737,0.381104343,0.025,0.467758969,73.77521155,43.90485339,52.64600207,3.425,63.88119312,0.538505194,0.320473382,0.384277387,0.025,0.466286081
137,0.537862319,0.322463768,0.381060109,0.025,0.467715079,74.31307387,44.22731716,53.02706218,3.45,64.3489082,0.538500535,0.320487805,0.384254074,0.025,0.466296436
138,0.53794964,0.322661871,0.380777462,0.025,0.467656513,74.85102351,44.54997903,53.40783964,3.475,64.81656472,0.538496572,0.320503446,0.384229062,0.025,0.466306221
139,0.538214286,0.322767857,0.380646908,0.025,0.467659574,75.3892378,44.87274688,53.78848655,3.5,65.28422429,0.538494556,0.320519621,0.384203475,0.025,0.466315888
140,0.538120567,0.32287234,0.380460976,0.025,0.467707862,75.92735837,45.19561922,54.16894752,3.525,65.75193215,0.538491903,0.320536307,0.384176933,0.025,0.46632576
141,0.537852113,0.32306338,0.380862659,0.025,0.467710518,76.46521048,45.5186826,54.54981018,3.55,66.21964267,0.538487398,0.320554103,0.384153593,0.025,0.466335512
142,0.537937063,0.322814685,0.381120413,0.025,0.467519714,77.00314754,45.84149729,54.9309306,3.575,66.68716238,0.538483549,0.320569911,0.384132382,0.025,0.466343793
143,0.538107639,0.32265625,0.38087759,0.025,0.467479314,77.54125518,46.16415354,55.31180819,3.6,67.1546417,0.538480939,0.3205844,0.384109779,0.025,0.466351678
144,0.538362069,0.323017241,0.380433301,0.025,0.467410125,78.07961725,46.48717078,55.69224149,3.625,67.62205182,0.538480119,0.320601178,0.384084424,0.025,0.466358978
145,0.538013699,0.323202055,0.3809488,0.025,0.46747304,78.61763095,46.81037283,56.07319029,3.65,68.08952486,0.538476924,0.320618992,0.384062947,0.025,0.466366609
146,0.538095238,0.32329932,0.381026734,0.025,0.467592995,79.15572619,47.13367215,56.45421702,3.675,68.55711786,0.538474328,0.320637226,0.384042293,0.025,0.466374951
147,0.538260135,0.32339527,0.381274672,0.025,0.467711328,79.69398632,47.45706742,56.83549169,3.7,69.02482919,0.538472881,0.320655861,0.384023593,0.025,0.466383981
148,0.538674497,0.323322148,0.381094509,0.025,0.467828074,80.23266082,47.78038957,57.2165862,3.725,69.49265726,0.538474234,0.320673756,0.384003934,0.025,0.466393673
149,0.538583333,0.323333333,0.380916748,0.025,0.467815603,80.77124415,48.10372291,57.59750295,3.75,69.96047286,0.538474961,0.320691486,0.383983353,0.025,0.466403152
150,0.53865894,0.323592715,0.380825171,0.025,0.467916021,81.30990309,48.42731562,57.97832812,3.775,70.42838888,0.538476179,0.320710699,0.383962438,0.025,0.466413171
151,0.539144737,0.323601974,0.381317743,0.025,0.467987122,81.84904783,48.75091759,58.35964586,3.8,70.89637601,0.538480578,0.320729721,0.383945039,0.025,0.466423526
152,0.538888889,0.323529412,0.380976542,0.025,0.4678487,82.38793672,49.07444701,58.74062241,3.825,71.36422471,0.538483247,0.32074802,0.383925637,0.025,0.466432841
153,0.539123377,0.32362013,0.381215146,0.025,0.467919315,82.9270601,49.39806714,59.12183755,3.85,71.83214402,0.538487403,0.32076667,0.383908036,0.025,0.466442494
154,0.539193548,0.323064516,0.381255693,0.025,0.467989019,83.46625364,49.72113165,59.50309324,3.875,72.30013304,0.538491959,0.320781495,0.383890924,0.025,0.466452471
155,0.539262821,0.323157051,0.381295721,0.025,0.468030551,84.00551646,50.0442887,59.88438896,3.9,72.76816359,0.5384969,0.320796722,0.383874288,0.025,0.466462587
156,0.539729299,0.32316879,0.381527732,0.025,0.468030898,84.54524576,50.36745749,60.2659167,3.925,73.23619449,0.53850475,0.320811831,0.383859342,0.025,0.466472576
157,0.539952532,0.322863924,0.381596576,0.025,0.467950444,85.0851983,50.69032142,60.64751327,3.95,73.70414493,0.538513913,0.320824819,0.383845021,0.025,0.46648193
158,0.539937107,0.32327044,0.38194817,0.025,0.467897765,85.6251354,51.01359186,61.02946144,3.975,74.1720427,0.538522864,0.3208402,0.383833091,0.025,0.466490835
